agency,business_title,posting_salary_range_from,posting_salary_range_to,posting_date,posting_until,posting_duration,actual_base_salary,actual_pay_basis,actual_regular_gross_paid,actual_total_ot_paid,actual_total_other_pay,actual_total_income_paid,match_ratio
DEPARTMENT OF TRANSPORTATION,"ACE â Overhead Sign Structures, D&C",66330,99528,2025-06-21T00:00:00.000000,2025-08-31T00:00:00.000000,71,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,78721,209971,2024-05-01T00:00:00.000000,2024-05-31T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,BOB- Budget Analyst I,79473,118334,2025-07-29T00:00:00.000000,2025-09-09T00:00:00.000000,42,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF YOUTH & COMM DEV SRVS,Initiative Manager,59116,91768,2025-06-16T00:00:00.000000,2025-07-16T00:00:00.000000,30,60039.00,per Annum,57954.21,0.00,5564.95,63519.159999999996,85.29411764705883
DEPT OF ENVIRONMENT PROTECTION,Chief of Repairs and Maintenance - Supt. W&S Sys.,78721,197348,2024-04-15T00:00:00.000000,2024-05-15T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,IN-HOUSE EHS OFFICER,60443,167413,2025-03-28T00:00:00.000000,2025-04-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2025-03-18T00:00:00.000000,2025-04-17T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineering Intern,51413,59125,2022-11-16T00:00:00.000000,2022-12-16T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"IT Technician, Bureau of Childcare",61093,71874,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Project Manager,57078,65640,2023-01-18T00:00:00.000000,2023-02-17T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
CONSUMER AND WORKER PROTECTION,Revenue Analyst,42288,48631,2025-07-16T00:00:00.000000,2025-10-14T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
DEPT OF ENVIRONMENT PROTECTION,Applications Developer,81951,111330,2022-10-05T00:00:00.000000,2022-11-04T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Supervising Public Health Nurse, Bureau of School Health",94826,94826,2024-12-26T00:00:00.000000,2025-12-26T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,QUALITY ASSURANCE ANALYST,64137,73758,2024-11-22T00:00:00.000000,2024-12-22T00:00:00.000000,30,78501.00,per Annum,83094.37,45491.61,5782.90,134368.88,92.10526315789474
DEPT OF ENVIRONMENT PROTECTION,In-House EHS Officer,84018,123141,2024-09-24T00:00:00.000000,2024-10-24T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
BRONX DISTRICT ATTORNEY,Digital Forensic Lab Analyst (DFL Analyst),65000,65000,2025-03-25T00:00:00.000000,2025-04-24T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"RU Case Navigator, Bureau of Vital Statistics",45040,54000,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,62370,93587,2024-04-30T00:00:00.000000,2024-05-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DISTRICT ATTORNEY-MANHATTAN,Video Unit Manager,68213,293038,2025-07-08T00:00:00.000000,2025-08-07T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DISTRICT ATTORNEY-MANHATTAN,Investigative Analyst,55150,58508,2024-10-04T00:00:00.000000,2024-11-03T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Associate, Bureau of the Public Health Laboratory",53580,53580,2024-10-09T00:00:00.000000,2025-10-09T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Data Services Project Manager, Bureau of IT Infrastructure and Support Services",95070,110000,2024-12-11T00:00:00.000000,2025-12-11T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Child Care Investigator, Bureau of Childcare",59359,70381,2025-06-20T00:00:00.000000,2026-06-20T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,35.21,40.97,2023-06-12T00:00:00.000000,2023-07-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,Express Clinic Supervisor,63065,72525,2025-06-16T00:00:00.000000,2026-06-16T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Program Associate, Immigrant and Refugee Unit, Bureau of Tuberculosis Control",70967,70967,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF CITY PLANNING,Database Coordinator,42288,68509,2025-06-13T00:00:00.000000,2025-07-13T00:00:00.000000,30,95318.00,per Annum,229.95,0.00,0.00,229.95,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Educator , Bureau of Environmental Disease and Injury Prevention",58575,66190,2025-02-18T00:00:00.000000,2026-02-18T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,"Deputy Chief, EHS Performance & Distribution Operations - (Associate Public Health Sanitarian III)",82929,95368,2025-03-28T00:00:00.000000,2025-04-27T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,"Coordinator, Engineering",64242,73878,2025-05-02T00:00:00.000000,2025-06-01T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Healthcare Payment & Financing Innovation Manager, Bureau of Equitable Health Systems",95070,109330,2024-12-03T00:00:00.000000,2025-12-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
OFFICE OF CRIMINAL JUSTICE,Intergovernmental Affairs Director,68213,130000,2025-07-22T00:00:00.000000,2025-08-21T00:00:00.000000,30,260042.00,per Annum,213062.77,0.00,3000.00,216062.77,85.24590163934427
DEPARTMENT OF TRANSPORTATION,Associate Staff Analyst,79473,118334,2025-03-05T00:00:00.000000,2025-04-04T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Inspector, Bureau of Food Safety and Community Sanitation (BFSCS)",51460,51460,2025-03-14T00:00:00.000000,2026-03-14T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Evaluator & Quality Analyst, Office for Data Aggregation, Translation, Analytics (ODATA), Community Awareness, Action, Response, and Engagement (BCAARE)",95070,109330,2025-01-24T00:00:00.000000,2026-01-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Business Analyst/Project Coordinator, Bureau of Public Health Clinics",72190,72190,2024-10-29T00:00:00.000000,2025-10-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,LOCATE SPECIALIST,40957,66353,2025-05-14T00:00:00.000000,2025-06-13T00:00:00.000000,30,49107.00,per Annum,47363.38,5216.56,4402.48,56982.42,91.56626506024097
DEPT OF HEALTH/MENTAL HYGIENE,"TB Hotline Coordinator, Bureau of Tuberculosis Control",85734,85734,2025-05-28T00:00:00.000000,2026-05-28T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,REGIONAL DEPUTY DIRECTOR,66067,110000,2025-01-17T00:00:00.000000,2025-02-16T00:00:00.000000,30,114173.00,per Annum,113860.24,0.00,2187.20,116047.44,94.73684210526315
BRONX DISTRICT ATTORNEY,"Trial Division-Trial Preparation Assistant, Level II",53045,53045,2025-05-02T00:00:00.000000,2025-06-01T00:00:00.000000,30,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,Environmental Engineer Intern - Inspector,57866,66546,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Research Scientist, Bureau of Environmental Sciences and Engineering",72190,72190,2025-01-24T00:00:00.000000,2026-01-24T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,"Environmental, Health & Safety Specialist",66042,75948,2024-06-13T00:00:00.000000,2024-07-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,LOCATE SPECIALIST,40957,66353,2024-11-01T00:00:00.000000,2024-12-01T00:00:00.000000,30,49107.00,per Annum,47363.38,5216.56,4402.48,56982.42,91.56626506024097
DEPT OF ENVIRONMENT PROTECTION,IN-HOUSE EHS OFFICER,81108,137501,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
BRONX DISTRICT ATTORNEY,Data Engineer,70022,94000,2024-09-19T00:00:00.000000,2025-09-19T00:00:00.000000,365,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2025-05-19T00:00:00.000000,2025-06-18T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Billing and Collecting Analyst,  Bureau of Revenue",52561,75000,2025-02-20T00:00:00.000000,2026-02-17T00:00:00.000000,362,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
CONSUMER AND WORKER PROTECTION,Senior Customer Service Representative - 721277,42288,53479.37,2025-07-22T00:00:00.000000,2025-10-20T00:00:00.000000,90,193743.00,per Annum,0.00,0.00,13206.88,13206.88,88.23529411764706
DEPT OF HEALTH/MENTAL HYGIENE,"Researcher/Data Analyst, Bureau of Mental Health",84981,97728,2025-01-29T00:00:00.000000,2026-01-29T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
HRA/DEPT OF SOCIAL SERVICES,Emergency Intervention Services/Domestic Violence Services,79798,91768,2023-12-28T00:00:00.000000,2024-01-27T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
DEPARTMENT OF TRANSPORTATION,Fiscal Officer,71281,165887,2024-05-16T00:00:00.000000,2024-06-15T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF TRANSPORTATION,Searcher/Testifier (Per Diem),32.6847,47.5118,2025-06-23T00:00:00.000000,2025-07-23T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
OFFICE OF MANAGEMENT & BUDGET,UH/DAD (Procurement Lead Specialist)  Management & Operations,117935,141217,2024-06-28T00:00:00.000000,2024-07-28T00:00:00.000000,30,128549.00,per Annum,133151.69,0.00,3000.00,136151.69,87.87878787878788
DEPT OF HEALTH/MENTAL HYGIENE,"Stock Worker, Bureau of Vital Statistics",40321,54000,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DISTRICT ATTORNEY-MANHATTAN,Messenger Clerk,40000,40000,2025-06-13T00:00:00.000000,2025-07-13T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
BRONX DISTRICT ATTORNEY,DAT Writer,51500,51500,2024-04-24T00:00:00.000000,2027-01-18T00:00:00.000000,999,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Stock Worker, Bureau of Vital Statistics",40321,54000,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of School Health",24.1,27.71,2024-12-04T00:00:00.000000,2025-12-04T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,SCADA Support Specialist,85371,109990,2023-02-08T00:00:00.000000,2023-03-10T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,FAIR HEARING AGENCY REPRESENTATIVE,68423,78686,2025-01-31T00:00:00.000000,2025-03-02T00:00:00.000000,30,522.32,per Day,17390.26,941.53,94.83,18426.62,90.0
NYC HOUSING AUTHORITY,REES ASSESSMENT SPECIALIST,60889,70022,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,77856.00,per Annum,73466.65,24.91,5263.13,78754.69,91.42857142857143
DEPARTMENT OF TRANSPORTATION,Data Scientist,61206,84805,2023-09-26T00:00:00.000000,2023-10-26T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,EHS Program Liaison,64242,96395,2025-05-13T00:00:00.000000,2025-06-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF SANITATION,College Aide,17,21.4,2025-06-30T00:00:00.000000,2025-07-30T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
DEPT. OF HOMELESS SERVICES,MAINTENANCE WORKER,269.92,269.92,2025-02-07T00:00:00.000000,2025-03-09T00:00:00.000000,30,272.32,per Day,73426.40,0.00,90.00,73516.4,100.0
DEPARTMENT OF TRANSPORTATION,Staten Island Borough Engineer,66066,181807,2025-04-13T00:00:00.000000,2025-05-13T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPARTMENT OF SANITATION,College Aide,17,21.4,2025-07-29T00:00:00.000000,2025-08-28T00:00:00.000000,30,522.32,per Day,150800.86,287.01,8680.53,159768.4,88.88888888888889
HRA/DEPT OF SOCIAL SERVICES,MACHINE LEADER,58381,67138,2025-01-21T00:00:00.000000,2025-02-20T00:00:00.000000,30,38262.00,per Annum,36924.65,109.87,3007.72,40042.240000000005,90.9090909090909
OFFICE OF THE MAYOR,Data Analyst,75609,75609,2025-05-12T00:00:00.000000,2025-06-11T00:00:00.000000,30,258750.00,per Annum,257361.22,0.00,0.00,257361.22,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Navigator, Bureau of Maternal Infant and Reproductive Health",53074,61035,2025-05-08T00:00:00.000000,2026-05-08T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,City Parking Equipment Service Worker,39539,56680,2024-05-05T00:00:00.000000,2024-06-04T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Public Health Sanitarian,54377,81225,2022-10-25T00:00:00.000000,2022-11-24T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,DEPUTY PORTFOLIO MANAGER,72038,192152,2024-03-11T00:00:00.000000,2024-04-10T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF HEALTH/MENTAL HYGIENE,"Public Health Advisor, Bureau of Public Health Clinics",44003,56826,2025-03-18T00:00:00.000000,2026-03-18T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPARTMENT OF TRANSPORTATION,Searchers / Testifiers (Per Diem),31.7329,46.1281,2024-02-18T00:00:00.000000,2024-03-19T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
HRA/DEPT OF SOCIAL SERVICES,CONTRACT SPECIALIST,57550,66182,2024-07-18T00:00:00.000000,2024-08-17T00:00:00.000000,30,66182.00,per Annum,63909.06,0.00,675.29,64584.35,100.0
DEPT OF ENVIRONMENT PROTECTION,Energy Engineer,62370,93587,2023-10-06T00:00:00.000000,2023-11-05T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
OFF OF PAYROLL ADMINISTRATION,Bank Account Reconciler,66067,78000,2025-04-29T00:00:00.000000,2025-05-29T00:00:00.000000,30,64764.00,per Annum,66806.30,2097.29,3508.04,72411.62999999999,85.29411764705883
DEPARTMENT OF TRANSPORTATION,BOB- Manager of Design,90667,125964,2024-11-21T00:00:00.000000,2024-12-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,101423,137501,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Project Manager,58700,173486,2024-01-18T00:00:00.000000,2024-02-17T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF YOUTH & COMM DEV SRVS,Assistant Deputy Agency Chief Contracting Officer,66067,216270,2025-04-07T00:00:00.000000,2025-05-07T00:00:00.000000,30,60039.00,per Annum,57954.21,0.00,5564.95,63519.159999999996,85.29411764705883
DEPARTMENT OF CORRECTION,Director of Emergency Operations,100000,125000,2025-08-06T00:00:00.000000,2025-09-05T00:00:00.000000,30,68909.00,per Annum,23822.69,0.00,0.00,23822.69,90.56603773584905
NYC FIRE PENSION FUND,CHIEF OF STAFF,103355,260030,2025-06-11T00:00:00.000000,2026-06-11T00:00:00.000000,365,220743.00,per Annum,230482.72,0.00,4000.00,234482.72,100.0
BRONX DISTRICT ATTORNEY,Assistant District Attorney Child Abuse/Sex Crimes Bureau,88000,175000,2024-02-14T00:00:00.000000,2026-11-09T00:00:00.000000,999,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
BRONX DISTRICT ATTORNEY,Assistant District Attorney Child Abuse/Sex Crimes Bureau,88000,175000,2024-02-14T00:00:00.000000,2026-11-09T00:00:00.000000,999,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,90667,125964,2025-03-18T00:00:00.000000,2025-04-17T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
BRONX DISTRICT ATTORNEY,Deputy Division Chief-Assistant District Attorney,231600,231600,2025-08-06T00:00:00.000000,2026-02-02T00:00:00.000000,180,232600.00,per Annum,215769.34,0.00,0.00,215769.34,100.0
DEPT OF ENVIRONMENT PROTECTION,"Supervisor, Processing & Onboarding, Operations Unit",57976,84276,2024-09-23T00:00:00.000000,2024-10-23T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPARTMENT OF TRANSPORTATION,Stock Worker,40321,60289,2025-01-22T00:00:00.000000,2025-02-21T00:00:00.000000,30,59684.00,per Annum,0.00,0.00,92.91,92.91,91.80327868852459
DEPT OF ENVIRONMENT PROTECTION,Marine Oiler,68962,68962,2024-04-30T00:00:00.000000,2024-05-30T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,ASSISTANT PROJECT MANAGER,57866,70075,2024-12-31T00:00:00.000000,2025-01-30T00:00:00.000000,30,81265.00,per Annum,76553.55,0.00,976.96,77530.51000000001,100.0
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant General Counsel - Contracts, Office of General Counsel",80387,92446,2025-03-03T00:00:00.000000,2026-03-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,ACCOUNTABLE MANAGER,60443,167413,2025-03-13T00:00:00.000000,2025-04-12T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DISTRICT ATTORNEY-MANHATTAN,Paralegal,50470,53544,2025-03-14T00:00:00.000000,2025-04-13T00:00:00.000000,30,365.23,per Day,99397.40,10479.45,3244.55,113121.4,87.09677419354838
DEPT OF HEALTH/MENTAL HYGIENE,"Interstate Liaison, Bureau of Tuberculosis Control",70967,70967,2025-04-03T00:00:00.000000,2026-04-03T00:00:00.000000,365,522.32,per Day,150579.26,159830.56,44458.74,354868.56,90.625
DEPT OF ENVIRONMENT PROTECTION,Civil Engineering Intern,51413,62260,2022-10-14T00:00:00.000000,2022-11-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
ADMIN FOR CHILDREN'S SVCS,Deputy Chief,73068,195261,2025-08-01T00:00:00.000000,2025-08-31T00:00:00.000000,30,38565.00,per Annum,38459.45,9705.94,1892.03,50057.42,90.9090909090909
DEPT OF ENVIRONMENT PROTECTION,Admin. Engineer M-II - Deputy Chief of Water & Sewer Planning,73068,142671,2024-12-23T00:00:00.000000,2025-01-22T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
HRA/DEPT OF SOCIAL SERVICES,DEPUTY DIRECTOR,82194,94523,2025-04-04T00:00:00.000000,2025-05-04T00:00:00.000000,30,118369.00,per Annum,124230.16,0.00,3000.00,127230.16,100.0
DEPT OF ENVIRONMENT PROTECTION,EHS Program Liaison,64242,96395,2024-08-07T00:00:00.000000,2024-09-06T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
DEPT OF ENVIRONMENT PROTECTION,Project Manager Intern,56313,64760,2024-08-14T00:00:00.000000,2024-09-13T00:00:00.000000,30,75365.00,per Annum,74960.40,25921.33,5214.78,106096.51,92.3076923076923
